category,amount,frequency_deviation,day_of_month,is_weekend,is_anomaly,note
shopping,11868.48,1.3,4,1,0,Normal transaction in shopping
rent,17821.03,0.44,4,0,0,Normal transaction in rent
health,7702.19,1.21,27,0,0,Normal transaction in health
other,2318.03,1.36,12,0,0,Normal transaction in other
entertainment,632.57,1.76,9,0,0,Normal transaction in entertainment
entertainment,948.35,1.47,12,1,0,Normal transaction in entertainment
other,1871.05,1.13,20,1,0,Normal transaction in other
rent,23281.69,0.47,18,0,0,Normal transaction in rent
rent,11507.67,0.88,9,1,0,Normal transaction in rent
entertainment,2964.13,1.52,8,0,0,Normal transaction in entertainment
education,3705.4,1.08,24,1,0,Normal transaction in education
education,996.67,0.85,6,1,0,Normal transaction in education
entertainment,1877.93,0.22,24,1,0,Normal transaction in entertainment
education,6802.69,0.72,2,1,0,Normal transaction in education
entertainment,625.21,0.92,11,1,0,Normal transaction in entertainment
shopping,10162.25,0.38,23,1,0,Normal transaction in shopping
transport,2755.45,0.75,22,0,0,Normal transaction in transport
entertainment,2753.14,1.31,7,1,0,Normal transaction in entertainment
education,11558.8,1.52,8,1,0,Normal transaction in education
other,2374.86,0.75,27,0,0,Normal transaction in other
other,2642.38,0.3,23,0,0,Normal transaction in other
rent,20445.74,1.61,27,1,0,Normal transaction in rent
education,17579.13,1.62,23,1,0,Normal transaction in education
food,3053.91,1.09,6,1,0,Normal transaction in food
food,159.8,0.9,24,1,0,Normal transaction in food
health,5404.82,1.26,2,1,0,Normal transaction in health
education,154623.26,6.44,23,0,1,Unusual high spike in education
other,5369.04,1.51,24,1,0,Normal transaction in other
entertainment,1949.77,1.22,28,0,0,Normal transaction in entertainment
entertainment,1957.9,1.02,12,0,0,Normal transaction in entertainment
health,421.73,1.43,7,0,0,Normal transaction in health
health,6848.8,1.69,1,1,0,Normal transaction in health
food,266.7,1.0,22,1,0,Normal transaction in food
health,1645.47,1.73,21,1,0,Normal transaction in health
shopping,16888.25,1.44,25,0,0,Normal transaction in shopping
