user_id,month_idx,income,total_expense,savings,savings_rate,food_expense,rent_expense,transport_expense,shopping_expense,health_expense,entertainment_expense,education_expense,other_expense,habit_completion_rate,task_completion_rate,mood_index,life_score,risk_class,target_next_month_expense
1,0,25000.0,17490.76,7509.24,0.3004,4081.37,5379.87,2208.48,2232.2,1691.15,1372.0,560.35,874.54,0.475,0.6863,0.5284,44,Moderate,17816.99
1,1,25000.0,15352.73,9647.27,0.3859,4902.3,4525.47,1649.33,2337.45,985.18,667.9,964.18,767.64,0.4473,0.824,0.5395,51,Moderate,15290.83
1,2,25000.0,15587.99,9412.01,0.3765,5059.16,3938.6,1877.23,2576.39,1454.07,1085.13,1099.39,779.4,0.3433,0.5983,0.449,42,Moderate,15687.96
1,3,25000.0,18681.86,6318.14,0.2527,4542.23,5122.57,1622.29,1229.88,1404.73,1640.72,531.06,2588.36,0.4736,0.7775,0.5836,45,Moderate,17971.83
1,4,25000.0,17765.12,7234.88,0.2894,6034.77,4459.84,2346.58,3134.85,672.35,1402.17,727.37,888.26,0.2994,0.8551,0.4983,43,Moderate,17753.34
1,5,25000.0,19189.4,5810.6,0.2324,4960.12,7398.3,2170.73,1979.35,603.75,1383.54,1403.2,959.47,0.374,0.8376,0.6544,42,Moderate,19653.31
1,6,25250.0,17937.47,7312.53,0.2896,4351.02,5012.48,2193.51,2057.29,1071.73,1979.95,1295.51,896.87,0.4695,0.764,0.6982,46,Moderate,18162.64
1,7,25250.0,15370.95,9879.05,0.3912,5122.21,4435.5,2273.19,2049.82,984.23,1708.96,1071.42,768.55,0.4985,0.7116,0.6964,50,Moderate,15214.92
1,8,25250.0,18432.71,6817.29,0.27,3930.92,5414.07,1658.68,3586.52,1663.26,1428.93,1127.6,921.64,0.473,0.6301,0.5491,42,Moderate,18721.47
1,9,25250.0,19061.97,6188.03,0.2451,4851.26,5818.29,1545.41,2554.11,639.81,983.82,1087.16,1582.12,0.4023,0.6505,0.47,39,Moderate,17964.01
1,10,25250.0,16372.51,8877.49,0.3516,4048.44,6331.1,1601.22,2811.45,1279.59,1432.27,526.99,818.63,0.3989,0.7367,0.5288,46,Moderate,16729.34
1,11,25250.0,17979.43,7270.57,0.2879,4026.01,5367.05,2250.1,1212.97,1432.67,1675.7,836.35,1178.59,0.2823,0.7969,0.4446,41,Moderate,17253.3
1,12,25500.0,17917.79,7582.21,0.2973,5691.64,4513.73,1650.99,1352.25,942.66,2029.38,1068.7,668.45,0.3304,0.5637,0.4061,37,Moderate,17029.67
1,13,25500.0,19922.61,5577.39,0.2187,5616.15,7692.56,2076.93,3763.7,1283.52,1220.7,436.2,996.13,0.3473,0.5899,0.4528,35,Moderate,19733.1
1,14,25500.0,18461.43,7038.57,0.276,4434.88,5071.51,1623.73,1443.49,817.69,1853.74,1046.0,2170.39,0.5642,0.6966,0.5376,46,Moderate,18328.39
1,15,25500.0,19494.69,6005.31,0.2355,6499.41,6462.04,2653.12,2212.51,1486.8,1331.8,1503.69,974.73,0.4601,0.5929,0.5787,39,Moderate,18671.24
1,16,25500.0,17592.23,7907.77,0.3101,5420.66,6606.02,2638.8,1871.88,1098.59,1852.95,755.5,879.61,0.2892,0.8141,0.5282,42,Moderate,17293.44
1,17,25500.0,19063.82,6436.18,0.2524,4035.12,7245.01,2707.04,1827.37,1631.87,2025.61,1037.37,953.19,0.2852,0.6403,0.4334,35,Moderate,19319.69
1,18,25750.0,18329.65,7420.35,0.2882,4135.07,5769.98,1477.0,2348.85,1356.49,1854.54,484.34,903.37,0.3778,0.8267,0.6784,44,Moderate,17797.98
1,19,25750.0,16277.9,9472.1,0.3678,3856.52,6361.81,2068.6,2584.12,1355.73,1090.42,876.81,813.9,0.4738,0.6078,0.5775,45,Moderate,16437.0
1,20,25750.0,18994.5,6755.5,0.2623,3899.54,5742.67,2224.37,1534.26,1373.89,2278.81,428.56,1512.4,0.5603,0.8202,0.7028,49,Moderate,19980.56
1,21,25750.0,19734.05,6015.95,0.2336,6119.39,6535.72,2700.21,1658.64,1837.0,1246.42,518.54,986.7,0.3294,0.8531,0.589,41,Moderate,19655.11
1,22,25750.0,18720.51,7029.49,0.273,6189.9,6313.52,2345.09,2998.43,991.94,2013.73,1364.15,936.03,0.4133,0.7994,0.6249,44,Moderate,19005.49
1,23,25750.0,20195.29,5554.71,0.2157,6339.85,6104.08,2614.61,1083.98,1222.92,2332.47,1608.8,1009.76,0.2814,0.6681,0.4718,34,Moderate,21319.19
2,0,45000.0,28378.8,16621.2,0.3694,8373.46,10266.5,3010.6,3527.51,2059.73,2496.12,1353.97,1418.94,0.7948,0.6005,0.6209,55,Low,27279.26
2,1,45000.0,28789.3,16210.7,0.3602,6701.17,11357.19,4213.14,3551.28,950.11,2709.39,1672.14,1439.46,0.7422,0.73,0.6814,56,Low,27357.03
2,2,45000.0,28749.59,16250.41,0.3611,8696.34,11394.79,4159.33,2582.69,2241.49,1858.81,611.31,1437.48,0.8291,0.521,0.6569,54,Low,28700.23
2,3,45000.0,27600.02,17399.98,0.3867,7619.05,8492.46,3551.07,1735.42,2051.08,2056.65,2096.4,1380.0,0.7846,0.7657,0.7052,60,Low,28851.56
2,4,45000.0,23349.97,21650.03,0.4811,7054.17,6489.26,2256.59,3792.1,1422.03,2295.56,768.24,1167.5,0.8173,0.6839,0.7447,63,Low,22705.97
2,5,45000.0,31248.31,13751.69,0.3056,7153.26,8163.95,3253.33,4721.46,2503.06,3261.81,2030.41,161.04,0.6427,0.5743,0.5235,47,Low,29953.87
2,6,45450.0,27569.48,17880.52,0.3934,9340.0,7597.77,3064.8,2434.41,1866.66,3056.52,1792.2,1378.47,0.6664,0.5415,0.7037,51,Low,28542.36
2,7,45450.0,30734.84,14715.16,0.3238,9805.19,9608.75,3115.66,5698.45,3051.58,1387.27,794.89,1536.74,0.7227,0.5931,0.7507,51,Low,30474.69
2,8,45450.0,25339.56,20110.44,0.4425,7489.44,6406.48,2994.64,3726.65,2335.31,1557.95,1341.2,1266.98,0.7892,0.6867,0.7189,60,Low,23968.57
2,9,45450.0,29328.81,16121.19,0.3547,9781.49,9112.17,4198.07,1509.44,1966.97,1283.99,1779.36,1466.44,0.7186,0.7093,0.7087,55,Low,31168.31
2,10,45450.0,28623.21,16826.79,0.3702,8605.54,8363.57,4189.3,4893.55,1228.53,2351.36,865.23,1431.16,0.8982,0.6614,0.804,60,Low,27149.93
2,11,45450.0,30935.78,14514.22,0.3193,8716.66,8743.36,4225.37,5419.17,1097.4,2633.19,1898.62,1546.79,0.6907,0.7167,0.6105,53,Low,31155.93
2,12,45900.0,28693.59,17206.41,0.3749,6605.65,10377.44,2309.37,2895.31,2166.23,1155.28,2120.05,1064.25,0.6861,0.7822,0.7868,57,Low,28929.04
2,13,45900.0,24203.48,21696.52,0.4727,5879.85,7548.17,2920.01,3843.59,1060.87,2305.02,1075.3,1210.17,0.8506,0.5921,0.6438,61,Low,25299.55
2,14,45900.0,29112.02,16787.98,0.3658,9700.35,7982.66,3322.17,4493.11,2011.28,2464.66,1217.66,1455.6,0.6901,0.5791,0.6802,51,Low,30764.12
2,15,45900.0,27646.97,18253.03,0.3977,5671.13,7637.09,2599.0,3400.64,1619.18,2547.2,958.27,3214.45,0.8268,0.5646,0.7334,56,Low,27105.59
2,16,45900.0,26332.23,19567.77,0.4263,5876.86,8530.79,3208.57,1373.38,1084.64,2977.34,1610.02,1670.65,0.9032,0.651,0.7814,62,Low,26569.17
2,17,45900.0,28844.19,17055.81,0.3716,7574.98,9534.56,2658.12,3651.94,1356.67,2560.4,960.04,547.48,0.6504,0.6105,0.5365,51,Low,29543.82
2,18,46350.0,30022.84,16327.16,0.3523,6265.15,10010.32,2728.13,5824.78,1287.04,2277.02,2320.76,1501.14,0.7278,0.6992,0.6582,55,Low,28597.74
2,19,46350.0,26093.18,20256.82,0.437,8248.02,8832.78,3419.21,2255.65,2548.12,1407.64,1208.64,1304.66,0.7568,0.6135,0.7038,57,Low,26672.55
2,20,46350.0,24369.43,21980.57,0.4742,6452.35,9343.44,3367.9,4073.86,1002.81,2911.46,1682.85,1218.47,0.8734,0.6333,0.8253,63,Low,24139.0
2,21,46350.0,26959.71,19390.29,0.4183,5543.21,7082.26,3484.89,1661.23,1092.65,2992.26,540.61,4562.6,0.7949,0.5283,0.6768,55,Low,26375.52
2,22,46350.0,24996.77,21353.23,0.4607,7105.99,9088.63,2223.99,3306.44,1288.08,1659.24,778.63,1249.84,0.6606,0.8043,0.8053,60,Low,26149.53
2,23,46350.0,24631.15,21718.85,0.4686,8349.97,9124.55,2194.52,2901.93,2409.43,1035.17,1107.44,1231.56,0.7925,0.8015,0.7821,64,Low,25580.68
3,0,120000.0,93596.52,26403.48,0.22,24709.16,34246.1,9399.38,14479.91,6697.43,5623.34,3103.5,4679.83,0.7737,0.7246,0.763,51,Moderate,98782.0
3,1,120000.0,92636.11,27363.89,0.228,30120.19,28321.59,12475.67,17223.74,6068.04,6325.53,3757.25,4631.81,0.6834,0.8149,0.7842,51,Moderate,92531.92
3,2,120000.0,85040.2,34959.8,0.2913,24781.36,33563.73,9809.99,9532.99,5740.27,8035.56,5806.54,4252.01,0.7763,0.8691,0.7951,58,Moderate,90020.04
3,3,120000.0,95129.16,24870.84,0.2073,21397.35,34606.8,13514.83,10140.72,4732.04,5849.86,3754.14,1133.42,0.6195,0.6898,0.6629,45,Moderate,91677.3
3,4,120000.0,84947.28,35052.72,0.2921,29554.36,31583.55,7824.84,8488.78,8254.52,7172.21,6352.28,4247.36,0.8117,0.7193,0.7936,55,Moderate,89934.37
3,5,120000.0,90641.02,29358.98,0.2447,23716.7,33048.49,10989.05,4566.78,8011.08,7308.77,6269.3,4532.05,0.7897,0.8193,0.897,55,Moderate,96478.2
3,6,121200.0,87745.02,33454.98,0.276,25590.12,32755.04,12779.8,11132.75,4937.64,5749.21,2387.31,4387.25,0.6532,0.7496,0.6194,50,Moderate,88457.62
3,7,121200.0,91955.54,29244.46,0.2413,31917.49,34942.54,12814.68,14891.63,4090.96,9494.98,5582.16,4597.78,0.795,0.6328,0.779,50,Moderate,89246.39
